,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
155,OPERACIONES DE PRODUCCIÓN DE ALIMENTOS,"ESTABLECER LOS PRODUCTOS ALIMENTICIOS ACORDE A LOS PROCEDIMIENTOS POR LA EMPRESA, CONSIDERANDO LAS BUENAS PRÁCTICAS DE MANUFACTURA, NORMAS AMBIENTALES, DE SEGURIDAD Y SALUD OCUPACIONAL.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
156,OPERACIONES DE PRODUCCIÓN MINA SUBTERRÁNEA,CONTROLAR PROCESOS DE PRODUCCIÓN Y PLANTA DE CHANCADO DESDE SALA DE CONTROL EN PROCESOS DE EXTRACCIÓN DE MINERÍA SUBTERRÁNEA DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMAS DE SEGURIDAD.,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
157,OPERACIONES DE RECEPCIÓN Y ALMACENAJE,"ALMACENAR Y DESPACHAR MATERIAS PRIMAS, INSUMOS Y PRODUCTOS TERMINADOS CONFORME A BUENAS PRÁCTICAS DE MANUFACTURA NORMAS AMBIENTALES, DE SEGURIDAD Y SALUD OCUPACIONAL.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
158,OPERACIONES DE TRONADURA EN MINA,REALIZAR OPERACIÓN DE CONTROL Y ADMINISTRACIÓN DE POLVORINES Y EXPLOSIVO EN EL PROCESO DE TRONADURA EN MINA DE RAJO ABIERTO Y MINA SUBTERRÁNEA DE ACUERDO A NORMATIVAS VIGENTES DE SEGURIDAD,"MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
159,"OPERADOR EN MANEJO, RECUPERACIÓN Y RECICLAJE DE GASES REFRIGERANTES",MANEJO DE GASES REFRIGERANTES A TRAVES DE EQUIPOS Y PROCEDIMIENTOS ESPECIALIZADOS CUMPLIENDO LAS NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL Y MEDIO AMBIENTE.,ACTIVIDADES TIPO SERVICIOS,REPARACIÓN DE COMPUTADORES Y DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,
160,PICAPEDRERÍA,"FABRICAR ESCULTURAS Y TALLADOS EN PIEDRA, SEGÚN PEDIDO DEL CLIENTE, MANTENIENDO CONDICIONES DE SEGURIDAD PERSONAL, CUIDANDO EL AMBIENTE Y RESPETANDO AUTENTICIDAD CULTURAL.",ARTESANÍAS,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS,
161,ASISTENCIA EN SEGURIDAD INDUSTRIAL,"REALIZAR ACTIVIDADES DE APOYO A LA GESTIÓN DE SEGURIDAD INDUSTRIAL DE LA ENTIDAD, OBSERVANDO LA NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",
162,AUDITORÍA INTERNA DEL SISTEMA DE GESTIÓN INTEGRADA DE CALIDAD DEL SECTOR TURÍSTICO,"GESTIONAR LOS SISTEMAS DE CALIDAD, SOSTENIBILIDAD, RESPONSABILIDAD SOCIAL Y OTROS DEL SECTOR TURÍSTICO DE ACUERDO A LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,
163,CONDUCCIÓN DE VEHÍCULOS DE SERVICIO,"BRINDAR SERVICIOS DE TRANSPORTE DE MANERA SEGURA, RESPONSABLE Y CONFORTABLE DE ACUERDO A REGLAMENTOS INTERNOS Y NORMATIVA VIGENTE ESTABLECIDOS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",TRANSPORTE POR VÍA TERRESTRE Y POR TUBERÍAS,
164,DISEÑO ESCENOGRÁFICO,"REALIZAR EL DISEÑO DE ESCENOGRAFÍAS PARA OBRAS, ESPECTÁCULOS Y EVENTOS DE ACUERDO ALPROYECTO CREATIVO",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
165,OPERACIONES DE MANUFACTURA DEL CHOCOLATE,"ELABORAR PRODUCTOS DE CHOCOLATE A BASE DEL CACAO Y SUS DERIVADOS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y LAS NORMAS DE HIGIENE Y SEGURIDAD.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
166,GESTIÓN DIPLOMÁTICA,"GESTIONAR LA POLÍTICA EXTERIOR, MOVILIDAD HUMANA Y COOPERACIÓN INTERNACIONAL A FIN DE PROMOVER LA INSERCIÓN ESTRATÉGICA Y SOBERANA DEL ECUADOR EN LA COMUNIDAD INTERNACIONAL, LA INTEGRACIÓN REGIONAL, LA ATENCIÓN CONSULAR Y MIGRATORIA, ACORDE A LOS CONVENIOS INTERNACIONALES Y LA NORMATIVA DEL DERECHO NACIONAL E INTERNACIONAL PÚBLICO.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
167,OPERACIONES AUXILIARES DE ENFERMERÍA,"REALIZAR CUIDADO INTEGRAL A LOS PACIENTES SOMETIDOS A PROCESOS DE PREVENCIÓN, TRATAMIENTO MÉDICO Y REHABILITACIÓN DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
168,OPERACIONES AUXILIARES DE FARMACIA,REALIZAR ACTIVIDADES DE APOYO A LA GESTIÓN ADMINISTRATIVA DE FARMACIA Y ATENCIÓN AL CLIENTE DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
169,OPERACIONES AUXILIARES DE REHABILITACIÓN FÍSICA,REALIZAR ACTIVIDADES DE APOYO EN TRATAMIENTOS DE REHABILITACIÓN FÍSICA DE PACIENTES DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
170,OPERACIONES DE AMARRE Y DESAMARRE DE BUQUES Y MONOBOYAS,"EJECUTAR LAS OPERACIONES DE AMARRE Y DESAMARRE DE BUQUES A PUERTO Y MONOBOYAS, ASÍ COMO DE CONEXIÓN Y DESCONEXIÓN DE MANGUERAS EN MONOBOYAS, DE ACUERDO A PROCEDIMIENTOS Y NORMAS DE SEGURIDAD ESTABLECIDAS","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
171,PROSPECCIÓN SENIOR EN MINA,REALIZAR MUESTREO DE PUNTOS DE EXTRACCIÓN EN PROCESOS DE MINERÍA SUBTERRÁNEA DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
172,REPARACIÓN Y CALIBRAJE DE INSTRUMENTOS,"REALIZAR LA REPARACIÓN Y CALIBRACIÓN DE INSTRUMENTOS, MANTENIENDO EL SISTEMA DE CONTROL Y REGISTRO DE EQUIPOS Y MAQUINARIA, DE ACUERDO A LOS PROCEDIMIENTOS DE LA EMPRESA Y LA NORMATIVA LEGAL VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
173,GESTIÓN DE COBRANZA,"REALIZAR LA RECUPERACIÓN DE LA CARTERA DE CRÉDITOS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS POR LA ENTIDAD FINANCIERA Y NORMATIVA LEGAL VIGENTE.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES",
174,ELABORACIÓN DE SOMBRERO DE PAJA TOQUILLA,CONFECCIONAR SOMBREROS DE PAJA TOQUILLA DE ACUERDO CON LA TÉCNICA DE CADA REGIÓN Y EL REQUERIMIENTO DEL CLIENTE.,ARTESANÍAS,FABRICACIÓN DE PRENDAS DE VESTIR,
175,SUPERVISIÓN DE LA PRODUCCIÓN DE ALIMENTOS,ELABORAR LOS RECURSOS ARTICULANDO PROCESOS DE LOS PRODUCTOS ALIMENTICIOS DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS POR LA EMPRESA.,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
176,OPERACIONES DE MANUFACTURA DE FRUTOS SECOS,"REALIZAR LA ELABORACION DE FRUTOS SECOS TOSTADOS, EN LAS CONDICIONES ESTABLECIDAS EN LOS MANUALES DE PROCEDIMIENTO Y CALIDAD, DE ACUERDO A LA NORMATIVA TECNICO - SANITARIA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
177,"SUPERVISIÓN DE PRODUCCIÓN DE HILATURAS, TEJEDURÍAS Y PIELES","PRODUCIR HILATURAS, TEJEDURÍAS Y PIELES CURTIDAS ASEGURANDO LA CALIDAD EN LOS PRODUCTOS SIGUIENDO NORMAS ESTABLECIDAS EN LAS GUÍAS DE CONTROL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,
178,SUPERVISIÓN DE TURNO DE EXTRACCIÓN SUBTERRÁNEA,REALIZAR SUPERVISIÓN DE ACTIVIDADES OPERACIONALES EN PROCESOS DE EXTRACCIÓN DE MINERÍA SUBTERRÁNEA.,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
179,SUPERVISIÓN Y OPERACIÓN DE PLANTEL DE REFINERÍA,"EJECUTAR ACTIVIDADES DE SUPERVISIÓN, COORDINACIÓN Y CONTROL EN LOS PROCESOS DE REFINACIÓN DE PETRÓLEO CRUDO DE ACUERDO CON LOS LINEAMIENTOS TÉCNICOS DEL PROGRAMA DE PRODUCCIÓN DE PRODUCTOS DERIVADOS DE HIDROCARBUROS BAJO NORMAS TÉCNICAS DE SEGURIDAD SALUD Y AMBIENTE","MINAS, CANTERAS Y YACIMIENTOS",FABRICACIÓN DE COQUE Y DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO,
180,TEJEDURÍA DE CALADA,PRODUCIR TEJIDOS DE CALADA DE ACUERDO A LAS CONDICIONES DE SEGURIDAD Y PROCEDIMIENTOS ESTABLECIDOS.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,
181,TEJEDURÍA DE CHALINAS,"PRODUCIR CHALINAS, TOMANDO EN CUENTA MÉTODOS ANCESTRALES DE CALIDAD Y CONSIDERANDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL, AMBIENTAL Y, RESPETANDO AUTENTICIDAD CULTURAL.",ARTESANÍAS,FABRICACIÓN DE PRODUCTOS TEXTILES,
182,"VERIFICACIÓN DE CALIDAD EN LA PRODUCCIÓN DE HILATURAS, TEJEDURÍAS Y PIELES",CONTROLAR LA CALIDAD DE MANERA EXHAUSTIVA EN LOS PRODUCTOS TERMINADOS E INTERMEDIAS OPERANDO MAQUINARIA Y EQUIPO DE CONTROL AL IGUAL QUE RETROALIMENTANDO DICHO CONTROL SEGÚN LOS ESTÁNDARES DE LA EMPRESA,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,
183,GESTIÓN DE CUMPLIMIENTO DE AUDITORÍAS INSTITUCIONALES,"COORDINAR EL MONITOREO Y AUDITORIA DE LOS PROCESOS INSTITUCIONALES PROPENDIENDO A LA IDENTIFICACIÓN DE ANOMALÍAS, ALTERACIÓN O INCUMPLIMIENTO ACORDE A LA NATURALEZA DE LA INSTITUCIÓN Y NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
184,OPERACIONES EN ILUMINACIÓN ESCÉNICA,DISEÑAR PROYECTOS DE ILUMINACIÓN Y REALIZAR MONTAJE Y DESMONTAJE ILUMINOTÉCNICO PARA OBRAS ARTISTICAS Y ESPECTÁCULOS DE ACUERDO A PROCESOS ESTABLECIDOS CUMPLIENDO NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO.,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
185,ACTIVIDADES GENERALES DEL SERVICIO PÚBLICO,"BRINDAR SERVICIO A LA CIUDADANÍA, PRECAUTELANDO EL USO DE LOS RECURSOS ASIGNADOS Y GESTIONANDO LA INFORMACIÓN PÚBLICA EN CONCORDANCIA CON LA NORMATIVA LEGAL VIGENTE",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
186,ANIMACIÓN,"ANIMAR ACTIVIDADES PARA TODO TIPO DE USUARIOS, ADAPTÁNDOLOS A LAS CARACTERÍSTICAS Y EXPECTATIVAS DEL MEDIO Y DE LOS PARTICIPANTES DE ACUERDO A LOS REQUERIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA",
187,GESTIÓN DE PLANIFICACIÓN ESTRATÉGICA DE TALENTO HUMANO,COORDINAR EL DESARROLLO DE LA PLANIFICACIÓN DEL TALENTO HUMANO PROYECTANDO EL PERSONAL REQUERIDO POR LA INSTITUCIÓN.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
188,ASISTENCIA DE CRÉDITO,TRAMITAR SOLICITUDES DE CRÉDITO DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS POR LA ENTIDAD Y A LA NORMATIVA VIGENTE.,SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES",
189,ASISTENCIA DE RIESGOS,"REALIZAR LA IDENTIFICACIÓN, MEDICIÓN, CONTROL, Y MONITOREO DE LOS EVENTOS DE RIESGOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",SERVICIOS FINANCIEROS,ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS,
190,ASISTENCIA EN CURADURÍA,"DESARROLLAR CONCEPTOS PARA GUIONES DE PROCESOS: EXPOSITIVOS, MUSICALES, CINEMATOGRÁFICOS, LITERARIOS, ESCÉNICOS Y OTRAS PRÁCTICAS DEL ÁMBITO CULTURAL DE ACUERDO A LOS REQUERIMIENTOS Y/O PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS",
191,CERRAJERÍA,"ELABORAR ESTRUCTURAS METÁLICAS Y ACABADOS MEDIANTE PERFILES DE ACERO DE ACUERDO A DIMENSIONES, FORMAS, MODELOS Y HERRAMIENTAS ESTABLECIDAS (REMACHES, TORNILLOS, TIPOS DE SUELDA) CUMPLIENDO LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE METALES COMUNES,
192,CUSTODIA DE RESERVAS,"GESTIONAR LOS BIENES CULTURALES, PATRIMONIALES PÚBLICOS Y PRIVADOS DE ACUERDO A LA NORMATIVA VIGENTE.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",
193,"DIBUJO, PINTURA E ILUSTRACIÓN ARTÍSTICA","ELABORAR PROYECTOS U OBRAS DE DIBUJO, PINTURA O ILUSTRACIÓN ARTÍSTICA APLICANDO DIVERSAS TÉCNICAS, PROCEDIMIENTOS, HERRAMIENTAS Y PRINCIPIOS DE REPRESENTACIÓN DE ACUERDO A LOS REQUERIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
194,DISEÑO DE TIPOGRAFÍA Y/O CALIGRAFÍA,DESARROLLAR TIPOGRAFÍAS Y/O CALIGRAFÍAS APLICANDO TÉCNICAS DE DISEÑO FUNCIONAL Y ESTÉTICO DE ACUERDO A LOS REQUERIMIENTOS ESTABLECIDOS,ACTIVIDADES COMUNITARIAS,IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
195,MANTENIMIENTO Y REPARACIÓN DE INSTRUMENTOS MUSICALES,REALIZAR ACTIVIDADES DE MANTENIMIENTO Y REPARACIÓN DE INSTRUMENTOS MUSICALES EN RELACIÓN A LA FUNCIONALIDAD DEL INSTRUMENTO Y LA ERGONOMÍA DEL INSTRUMENTISTA,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
196,MEDIACIÓN DE LECTURA,"FACILITAR EL ACCESO A LA LECTURA -DE CONTENIDOS LITERARIOS Y NO LITERARIOS- CONCEBIDA COMO UNA PRÁCTICA SOCIAL QUE NOS PERMITE LA CONSTRUCCIÓN DE SENTIDOS, DE UNA MANERA LIBRE, REFLEXIVA, PLACENTERA Y SENSIBLE ENMARCADA EN UN ENFOQUE DE DERECHOS PARA EL EJERCICIO DE LA CIUDADANÍA DE ACUERDO A LA NORMATIVA LEGAL VIGENTE.",ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA,
197,OPERACIONES AUXILIARES DE BIBLIOTECA,"REALIZAR LABORES DE APOYO EN SERVICIOS DE ATENCIÓN AL USUARIO, GESTIÓN TECNOLÓGICA, ADMINISTRATIVA Y DE INFORMACIÓN EN BIBLIOTECAS, CENTROS DE INFORMACIÓN Y/O DOCUMENTACIÓN, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",
198,OPERACIONES AUXILIARES DE ALBAÑILERÍA,"REALIZAR ACTIVIDADES AUXILIARES DE ALBAÑILERÍA EN OBRAS DE CONSTRUCCIÓN, DE ACUERDO A LAS INSTRUCCIONES TÉCNICAS RECIBIDAS POR EL JEFE, LA NORMATIVA DE SEGURIDAD Y SALUD EN EL TRABAJO; Y MEDIO AMBIENTE.",CONSTRUCCIÓN,CONSTRUCCIÓN DE EDIFICIOS,
199,OPERACIONES PORTUARIAS DE EMBARQUE Y DESEMBARQUE DE MERCADERÍAS,"REALIZAR LA IMPLEMENTACIÓN Y CONTROL DE LAS ACTIVIDADES PORTUARIAS DE INSTALACIONES Y EMBARQUE Y DESEMBARQUE DE NAVES PORTUARIAS, DE ACUERDO A LA PLANIFICACIÓN, PROCEDIMIENTOS ESTABLECIDOS, DANDO CUMPLIMIENTO A LAS NORMAS DE SEGURIDAD PORTUARIA.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
200,REPARACIÓN DE JOYERÍA,"REPARAR PIEZAS DE JOYERÍA SIN INVOLUCRAR CAMBIOS EN LA ESTRUCTURA O EL DISEÑO EN BASE A LOS REQUERIMIENTOS DEL CLIENTE, APLICANDO NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,
201,GESTIÓN DE MESA DE AYUDA EN TICS,BRINDAR SOPORTE TÉCNICO EN LA SOLUCIÓN DE INCIDENTES EN EL FUNCIONAMIENTO Y/O UTILIZACIÓN DE LOS RECURSOS INFORMÁTICOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE SERVICIOS DE INFORMACIÓN,
202,TAPICERÍA AUTOMOTRIZ,FABRICAR Y RESTAURAR TAPIZADO AUTOMOTRIZ DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.,"VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
203,ENCUADERNACIÓN ARTÍSTICA Y ARTESANAL,"REALIZAR EL DISEÑO Y DESARROLLO DE LA ENCUADERNACIÓN DEL LIBRO CON ELEMENTOS DE PROTECCIÓN Y CONTENEDORES, MEDIANTE TÉCNICAS DE ENCUADERNACIÓN DE ACUERDO AL PROYECTO ESTABLECIDO.",ACTIVIDADES COMUNITARIAS,IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
204,"ACTIVIDADES AUXILIARES DE MANTENIMIENTO DE MÁQUINAS, EQUIPOS E INSTALACIONES DEL BUQUE","REALIZAR OPERACIONES AUXILIARES DE MANTENIMIENTO Y REPARACIÓN DE LA PLANTA PROPULSORA, MÁQUINAS Y EQUIPOS AUXILIARES DEL BUQUE, ELEMENTOS Y EQUIPOS A FLOTE Y EN SECO, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS Y CUMPLIENDO LAS NORMAS DE SEGURIDAD PORTUARIAS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
205,IMPRESIÓN DE GRABADO,REPRODUCIR MANUALMENTE ORIGINALES MÚLTIPLES EN UNA EDICIÓN LIMITADA DE ACUERDO A TÉCNICAS DE ESTAMPACIÓN Y PROCEDIMIENTOS ESTABLECIDOS,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
206,OPERACIONES ESPECIALIZADAS EN ASEGURAMIENTO DE RIESGOS,"REALIZAR FUNCIONES DE ASEGURAMIENTO DE RIESGOS, MEDIANTE LA CONTRATACIÓN DE UNA PÓLIZA, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",SERVICIOS FINANCIEROS,"SEGUROS, REASEGUROS Y FONDOS DE PENSIONES, EXCEPTO LOS PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",
207,ACABADO EN CUERO,"REALIZAR EL ACABADO EN CUERO, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
208,ACTIVIDADES DE APOYO PARA LA INDUSTRIA MANUFACTURERA,"MANUFACTURAR PRODUCTOS DE ACUERDO A LAS INSTRUCCIONES RECIBIDAS CUMPLIENDO LAS BUENAS PRÁCTICAS DE MANUFACTURA, NORMAS AMBIENTALES Y NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
209,ANÁLISIS DE CONTROL DE CALIDAD EN LA TRANSFORMACIÓN DE ALIMENTOS,"INSPECCIONAR, ANALIZAR Y VERIFICAR LA CALIDAD DE LOS ALIMENTOS DESDE EL PUNTO INICIAL (MATERIA PRIMA E INSUMOS), PASANDO POR LA TRANSFORMACIÓN DE ALIMENTOS HASTA LA OBTENCIÓN DE PRODUCTOS TERMINADOS, DESARROLLANDO ACTIVIDADES DE CONTROL Y MUESTREO.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
210,APARADOR DE CALZADO,REALIZAR EL ENSAMBLE O UNIÓN DE LAS PIEZAS DE CORTE SIGUIENDO ESPECIFICACIONES DEL DISEÑO DEL PRODUCTO O MODELO DE ACUERDO A NORMAS DE SEGURIDAD INDUSTRIAL.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
211,ARTESANÍAS EN TOTORA,ELABORAR ARTESANIAS EN TOTORA PARA LA SATISFACCIÓN DEL CLIENTE.,ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,
212,ASISTENCIA DE OPERACIONES FINANCIERAS,"EJECUTAR OPERACIONES ADMINISTRATIVAS Y DE SOPORTE EN LA OFERTA DE SERVICIOS Y/O PRODUCTOS FINANCIEROS, DE ACUERDO A LOS REQUERIMIENTOS DE CLIENTES INTERNOS Y PROCEDIMIENTOS ESTABLECIDOS.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES",
213,ASISTENCIA DE PERFORACIÓN,OPERAR EQUIPOS DE PERFORACIÓN JUMBO EN PROCESOS DE EXTRACCIÓN MINERA DE ACUERDO A PROCEDIMIENTOS DE LA EMPRESA.,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
214,ASISTENCIA DE PRODUCCIÓN EN LABORATORIO ACUÍCOLA,COORDINAR LAS ACTIVIDADES PREVIAS AL PROCESO OPERATIVO DE PRODUCCIÓN DE LARVAS DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS.,"PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA,
215,ASISTENCIA EN CONSTRUCCIÓN EN MINA,REALIZAR ACTIVIDADES DE CONSTRUCCIÓN Y REPARACIÓN DE INFRAESTRUCTURA EN PROCESOS DE EXTRACCIÓN SUBTERRÁNEA EN MEDIANA MINERÍA.,"MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
216,ASISTENCIA EN LABORATORIO ACUÍCOLA,COORDINAR LAS ACTIVIDADES PREVIAS AL PROCESO OPERATIVO DE PRODUCCIÓN DE ALGAS DE ACUERDO A NORMAS TÉCNICAS DE PROCEDIMIENTOS ESTABLECIDOS.,"PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA,
