perfil,competenecia_laboral,familia,sector,tipo,estado
gestión protocolar para el desarrollo de eventos,"coordinar la gestión protocolar para el desarrollo de eventos, estableciendo procedimientos y requerimientos de acuerdo alos objetivos esperados",actividades tipo servicios,actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,oec,habilitado
actividades para deportes de equipos,"participar en eventos deportivos de equipo resolviendo situaciones y desafíos que se generen en el juego, a través de la aplicación de fundamentos teóricos, técnicos, tácticos y de deportividad; logrando eficiencia en la percepción, decisión y definición en el juego.",actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",oec,habilitado
gestión de soldadura,"realizar operaciones de soldadura sobre metales y corte por proyección térmica, aplicando procesos o.a.w (soldadura oxiacetilénica), s.m.a.w (soldadura por arco metálico protegido), g.m.a.w (soldadura por arco metálico con protección gaseosa) y soldadura tig (soldadura con electrodo de tungsteno y protección gaseosa), así como procesos de corte por oxigas, plasma y electrodo según especificaciones aws (sociedad americana de soldadura) con criterios de calidad, seguridad y respeto al medio ambiente, y de acuerdo a normas nacionales e internacionales.",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oec,habilitado
atención integral en la modalidad creciendo con nuestros hijos (cnh),"brindar consejería familiar, promoviendo la protección integral de mujeres gestantes, niños de 0 a 36 meses de edad de conformidad a la normativa vigente",actividades tipo servicios,actividades de asistencia social sin alojamiento,oec,habilitado
asesoría de imagen,"brindar el asesoramiento y ayuda a una persona (o grupo de personas) a potencializar su imagen, según procedimientos establecidos, de acuerdo al estudio de las características propias de cada individuo.",actividades tipo servicios,otras actividades de servicios personales,oec,habilitado
operaciones de rescate vehicular y desastres,"brindar servicio de rescate y atención prehospitalaria en emergencias por accidentes de tránsito en la red vial y en desastres, de acuerdo a procedimientos establecidos y normativas vigentes.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oec,habilitado
supervisión de procesos de planta de beneficio en pequeña minería,"supervisar los procesos de la planta de beneficio de minerales metálicos en pequeña mineria, de acuerdo a procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oec,habilitado
gestión de operadora turística,"gestionar las actividades generales de la operadora (agencias de viajes, centrales de reservas, tour operadores, brokers, consorcios de turismo, entre otros) de acuerdo a las políticas, normas y procedimientos establecidos",turismo y alimentación,"actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas",oec,habilitado
mecatrónica automotriz,"realizar el mantenimiento, diagnostico y reparacion de los sistemas mecanicos, electricos y electronicos de los vehiculos automotores en condiciones de autonomia, seguridad y cuidado del medio ambiente utilizando los procedimientos tecnicos establecidos y la informacion tecnica de los fabricantes.","vehículos, automotores, carrocerías y sus partes",comercio y reparación de vehículos automotores y motocicletas,oec,habilitado
práctica terapéutica de yoga,realizar práctica terapéutica alternativa de yoga siguiendo procedimientos establecidos.,actividades de salud,actividades de atención de la salud humana,oec,habilitado
fotografía de medios multimedia,"realizar la cobertura periodística a través de registros fotográficos y/o video  de ser el caso- de hechos y/o asignaciones tomando en consideración las técnicas establecidas (composición, contenido, iluminación) y normas de seguridad y salud en el trabajo.",actividades tipo servicios,"otras actividades profesionales, científicas y técnicas",oec,habilitado
cuidado de personas adultas mayores,cuidar a las personas adultas mayores acorde a sus necesidades individuales determinadas por profesionales socio sanitarios cumpliendo la normativa legal vigente,actividades tipo servicios,actividades de asistencia social sin alojamiento,oec,habilitado
operaciones de lavandería y ropería,"realizar el lavado, secado, planchado y arreglo de la lenceria / mantelería y prendas de los clientes, aplicando las normas de seguridad e higiene establecidas de acuerdo a la normativa vigente",turismo y alimentación,otras actividades de servicios personales,oec,habilitado
diseño gráfico y comunicación visual,"realizar la interpretación y definición de propuestas de diseño gráfico y comunicación visual de complejidad media, utilizando herramientas computacionales de vanguardia y tecnología acordes con las nuevas formas de comunicación e información para lograr respuestas creativas en plazos razonables que incorporen conceptos de identidad, universalidad, contemporaneidad y calidad, ajustadas a los requerimientos del cliente y características de la población objetivo.",actividades tipo servicios,"otras actividades profesionales, científicas y técnicas",oec,habilitado
asistencia a la supervisión de actividades de construcción,"asistir a la supervisión de edificaciones y obras civiles cumpliendo las normas de seguridad y salud en el trabajo, medio ambiente y especificaciones técnicas del proyecto de la obra.",construcción,actividades especializadas de la construcción,oec,habilitado
actividades operativas de albañilería,"construir estructuras básicas de hormigón armado y de albañilería para edificaciones, de acuerdo a especificaciones técnicas referidas en los planos arquitectónicos, estructurales; y normativa de seguridad y salud en el trabajo y medio ambiente.",construcción,construcción de edificios,oec,habilitado
gestión forestal,"realizar la organización y supervisión de las actividades necesarias para el aprovechamiento de los productos forestales, gestionando los recursos materiales y humanos disponibles, aplicando criterios de calidad, rentabilidad económica y de sostenibilidad del medio natural, minimizando el impacto sobre el medioambiente y respetando la normativa vigente, especialmente la medioambiental y la de prevención de riesgos laborales.","productos industriales, farmacéuticos y químicos",silvicultura y extracción de madera,oec,habilitado
operaciones auxiliares en procesos de planta de beneficio,"ejecutar operaciones auxiliares en mina de cielo abierto y subterránea en las actividades de voladura, aplicando los diferentes sistemas de iniciación, de acuerdo a procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oec,habilitado
soldadura,"unir elementos cumpliendo con las normas establecidas de soldadura, seguridad y salud en el trabajo, estándares de calidad y de medio ambiente.",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oec,habilitado
desarrollo de aplicaciones con tecnologías web,"desarrollar documentos y componentes software que constituyan aplicaciones informáticas en entornos distribuidos utilizando tecnologías web, partiendo de un diseño técnico ya elaborado, realizando, además, la verificación, documentación e implantación de los mismos.",tecnología: hardware y software (incluye tic),actividades de servicios de información,oec,habilitado
gestión de compras y abastecimientos,gestionar la compra y abastecimiento de productos y/o servicios cumpliendo procedimientos y políticas establecidas.,comercialización y venta de productos,"comercio al por menor, excepto el de vehículos automotores y motocicletas",oec,habilitado
elaboración de macana,"elaborar macanas de acuerdo a los requerimientos del cliente o necesidad propia, cumpliendo normativa ambiental vigente.","productos textiles, cuero y calzado",fabricación de productos textiles.,oec,habilitado
supervisión de la gestión documental y archivo,"controlar los procesos de gestión documental y archivo institucional de conformidad a las políticas, objetivos institucionales y normativa legal vigente.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria.,oec,habilitado
venta de servicios,"ejecutar actividades de preventa, venta y posventa de servicios de acuerdo a metas y objetivos propuestos por la organización, y criterios de fidelización con las necesidades del cliente.",comercialización y venta de productos,"comercio al por menor, excepto el de vehículos automotores y motocicletas",oec,habilitado
carpintería,"ejecutar la construccion, montaje y reparacion de productos de carpinteria y muebles en condiciones de seguridad y de proteccion del medio ambiente.","productos industriales, farmacéuticos y químicos","producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",oec,habilitado
reciclaje de base,"realizar la separación, clasificación selectiva, recolección, recuperación, y revalorización de residuos sólidos reciclables no peligrosos de diversas fuentes considerando las normas de seguridad y salud en el trabajo, del ambiente, objetivo de venta, procedimientos, requerimientos establecidos y normativa vigente.",actividades tipo servicios,"recolección, tratamiento y eliminación de desechos, recuperación de materiales",oec,habilitado
operaciones auxiliares de albañilería,"realizar actividades auxiliares de albañilería en obras de construcción, de acuerdo a las instrucciones técnicas recibidas por el jefe, la normativa de seguridad y salud en el trabajo; y medio ambiente.",construcción,construcción de edificios,oec,habilitado
venta de productos,"realizar la venta de productos considerando características del cliente, técnicas de venta, tipos de productos y requerimientos del establecimiento.",comercialización y venta de productos,"comercio al por menor, excepto el de vehículos automotores y motocicletas",oec,habilitado
operación de sistemas de riego parcelario,"operar el sistema de riego parcelario en función del tipo de infraestructura, acuerdos sociales establecidos y procedimientos técnicos.",agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oec,habilitado
operaciones de máquina de empaque y sellado de pescado y mariscos,"operar las máquinas de empaque y sellado de los productos de pescado y mariscos en base a las órdenes de producción, buenas prácticas de manufactura, normas de calidad, seguridad y salud en el trabajo y medio ambiente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oec,habilitado
mantenimiento correctivo de equipos de telefonía móvil,realizar el mantenimiento correctivo al funcionamiento de equipos de telefonía móvil de acuerdo a las necesidades del cliente en cumplimiento de la normativa vigente.,tecnología: hardware y software (incluye tic),reparación de computadores y de efectos personales y enseres domésticos,oec,habilitado
cultivo de productos de ciclo perenne,"cultivar productos de ciclo perenne en función de las características propias de la especie y factores geográficos, climáticos y de suelo.",agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",oec,habilitado
arbitraje deportivo,arbitrar la competencia deportiva de acuerdo al reglamento establecido en la normativa legal vigente.,actividades tipo servicios,"actividades deportivas, de esparcimiento y recreativas",oec,habilitado
operaciones de manufactura del chocolate,"elaborar productos de chocolate a base del cacao y sus derivados, de acuerdo a procedimientos establecidos y las normas de higiene y seguridad.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oec,habilitado
interpretación de lengua de señas ecuatoriana,"transmitir un discurso de tipo oral, a través de una mediación lingüística, en lengua de señas ecuatoriana y viceversa, comunicando éticamente la cultura, gramática y sentido del mensaje emitido por los actores que intervienen en el diálogo, procurando las mejores condiciones logísticas y el trato adecuado tanto a las personas sordas como al intérprete en el ámbito de su competencia, garantizando la calidad de la interpretación.",actividades comunitarias,"otras actividades profesionales, científicas y técnicas",oec,habilitado
tramoyista,realizar montajes y desmontajes de elementos escénicos de una producción y manejar la maquinaria escénica y escenografía durante ensayos y espectáculos,actividades tipo servicios,"actividades creativas, artísticas y de entretenimiento",oec,habilitado
supervisión en procesamiento de productos derivados de cacao,"supervisar los procesos, operación y mantenimiento de los equipos y maquinaria utilizada en la producción de licor, manteca y torta de cacao, aplicando las normas de calidad, normas de inocuidad, normas de seguridad y salud en el trabajo y medio ambiente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oec,habilitado
actividades terapéuticas en reiki,realizar actividades terapéuticas alternativas de reiki de acuerdo a requerimientos del usuario siguiendo procedimientos establecidos.,actividades de salud,actividades de atención de la salud humana,oec,habilitado
apicultura básica,"manejar, mantener e instalar de manera técnica el apiario para producción de miel, seleccionando el lugar más adecuado para su producción apícola así mismo cumplir con las exigencias propias del sector en cuanto a material e insumos utilizados en la producción, a la higiene y seguridad en las labores, y al transporte y manipulación de abejas de acuerdo con estándares establecidos.",producción pecuaria,"agricultura, ganadería, caza y actividades de servicios conexas",oec,habilitado
supervisión a la gestión de la calidad del agua para consumo humano,"supervisar los sistemas de abastecimiento de agua para consumo humano, de acuerdo normativa legal vigente.","electricidad, gas y agua","captación, tratamiento y distribución de agua",oec,habilitado
carpintería y montaje de estructura de bambú,"elaborar estructuras de bambú, en función del plano arquitectónico y estructural de acuerdo a normas ambientales, de construcción y de seguridad y salud en el trabajo.",construcción,otras actividades especializadas de construcción,oec,habilitado
instructor de seguridad alimentaria - nte inen 2 460: 2008,"el instructor de seguridad alimentaria se ocupa, principalmente, de aplicar programas de capacitación para mejorar la competencia de profesionales en el local de trabajo y medio educacional; lograr mejores resultados en la aplicación de los conceptos básicos de seguridad alimentaria descritos en las nte inen 2 458 y 2 459.",actividades de enseñanza,servicio de alimento y bebida,oec,habilitado
ejecución de técnicas de medicina operacional táctica para personal militar no sanitario,"apoyar en la atención inicial de victimas durante la ejecución de operaciones militares (internas y externas) y asistencia en desastres, de acuerdo a técnicas y procedimientos establecidos.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oec,habilitado
operaciones de perforación manual con martillo neumático a cielo abierto y subterránea,"ejecutar labores mineras manuales de perforación con martillo neumático a cielo abierto y subterránea, de acuerdo a procedimientos establecidos.","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oec,habilitado
operaciones de análisis de procesos de producción de bebidas,,producción industrial de bebidas y tabacos,elaboración de bebidas,desconocido,inhabilidato
operaciones auxiliares en producción de bebidas,,producción industrial de bebidas y tabacos,elaboración de bebidas,desconocido,inhabilidato
operaciones de mantenimiento y reparación de máquinas y equipos para la industria alimentaria,,producción industrial de bebidas y tabacos,elaboración de bebidas,desconocido,inhabilidato
manipulación y preparación de alimentos para el turismo comunitario,,turismo y alimentación,elaboración de productos alimenticios,desconocido,inhabilidato
moldeado en fundición de arena,,metalmecánica,fabricación de metales comunes,desconocido,inhabilidato
operaciones auxiliares de topografía (cadenero),,"minas, canteras y yacimientos",explotación de otras minas y canteras,desconocido,inhabilidato
técnicas de manejo de ganado lechero,,producción pecuaria,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
confección textil,,"productos textiles, cuero y calzado",fabricación de prendas de vestir,desconocido,inhabilidato
curtiduría,,"productos textiles, cuero y calzado",fabricación de cueros y productos conexos,desconocido,inhabilidato
control de calidad en actividades de fundición,,metalmecánica,fabricación de metales comunes,desconocido,inhabilidato
fusión y colada,,metalmecánica,fabricación de metales comunes,desconocido,inhabilidato
operaciones de ensamblado metálico,,metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",desconocido,inhabilidato
operaciones de prensado,,metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",desconocido,inhabilidato
mecánica de aviación,,"vehículos, automotores, carrocerías y sus partes",fabricación de otros tipos de equipos de transporte,desconocido,inhabilidato
metrología en procesos de calibración,,"vehículos, automotores, carrocerías y sus partes",reparación e instalación de maquinaria y equipo,desconocido,inhabilidato
transporte de materiales para actividades mineras,,"minas, canteras y yacimientos",explotación de otras minas y canteras,desconocido,inhabilidato
operaciones de transporte en mina,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
asistencia en la gestión de seguridad y salud en el trabajo,,actividades tipo servicios,actividades de oficinas principales; actividades de consultoría de gestión,desconocido,inhabilidato
gestión en seguridad y prevención de riesgos laborales,,"transporte, almacenamiento y logística",actividades de oficinas principales; actividades de consultoría de gestión,desconocido,inhabilidato
operaciones mecánicas en campamento,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
operaciones mecánicas en mina,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
operaciones mecánicas equipos de mina,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
preparación y servicio de bebidas en bar (barman),,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
dirección de meseros,,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
operaciones de transporte con volquete en mina,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
agente de ventas - nte inen 2 445: 2008,,comercialización y venta de productos,"actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas",desconocido,inhabilidato
ventas e información turística,,comercialización y venta de productos,"actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas",desconocido,inhabilidato
guia especializado en turismo cultural - nte inen 2 462: 2008,,turismo y alimentación,"actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas",desconocido,inhabilidato
coordinacion de centro infantil del buen vivir (cibv),,actividades de enseñanza,enseñanza,desconocido,inhabilidato
elaboración de productos a base de chocolate,,transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,desconocido,inhabilidato
técnicas en servicio para hoteles bares y restaurantes,,turismo y alimentación,actividades de alojamiento,desconocido,inhabilidato
comercialización y ventas a nivel internacional,,comercialización y venta de productos,"comercio al por mayor, excepto el de vehículos automotores y motocicletas",desconocido,inhabilidato
operaciones de máquina de prensado de cacao,,transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,desconocido,inhabilidato
chef pastelero - panadero - nte inen 2 457: 2008,,turismo y alimentación,elaboración de productos alimenticios,desconocido,inhabilidato
operaciones especializadas en elaboración de frutos secos,,transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,desconocido,inhabilidato
educacion de centro infantil del buen vivir,,actividades de enseñanza,enseñanza,desconocido,inhabilidato
recepción y atención de clientes en servicios de alojamiento,,turismo y alimentación,actividades de alojamiento,desconocido,inhabilidato
encargado de mantenimiento - nte inen 2 434: 2008,,turismo y alimentación,"actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas",desconocido,inhabilidato
seguridad alimentaria para personal operativo - nte inen 2 458: 2008,,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
panadería,,transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,desconocido,inhabilidato
"almacenamiento, expedición y venta de productos y/o servicios",,comercialización y venta de productos,"comercio al por mayor, excepto el de vehículos automotores y motocicletas",desconocido,inhabilidato
preparaciones gastronómicas de cocina,,turismo y alimentación,elaboración de productos alimenticios,desconocido,inhabilidato
operaciones de máquina de tostado molienda y refinado de cacao,,transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,desconocido,inhabilidato
operaciones del procesamiento de productos lácteos,,transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,desconocido,inhabilidato
gestión culinaria (chef de cocina),,turismo y alimentación,elaboración de productos alimenticios,desconocido,inhabilidato
operaciones auxiliares en prospección y exploración geológica,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
manipulación de cableado eléctrico en mina,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
operaciones de mantenimiento de planta,,"vehículos, automotores, carrocerías y sus partes",reparación e instalación de maquinaria y equipo,desconocido,inhabilidato
guianza nacional especializada en patrimonio turístico,,turismo y alimentación,"actividadesdeagenciasdeviajes,operadoresturísticos,servicios de reservas y actividades conexas",desconocido,inhabilidato
limpieza de utensilios y equipos de restaurante (posillero),,turismo y alimentación,actividades de alojamiento,desconocido,inhabilidato
operaciones de monitor de insumos y servicios,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
administración de infraestructura de tecnología de la información con tecnologías libres,,tecnología: hardware y software (incluye tic),"programación informática, consultoría de informática y actividades conexas",desconocido,inhabilidato
recubrimiento y esmaltado de utensilios de uso domestico,,metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",desconocido,inhabilidato
prospección junior en mina,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
servicio polivalente al cliente en alimentos y bebidas (mesero polivalente),,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
recepción y atención polivalente de clientes (recepcionista polivalente),,turismo y alimentación,actividades de alojamiento,desconocido,inhabilidato
operaciones auxiliares de albañilería,,construcción,construcción de edificios,desconocido,inhabilidato
soporte en bar (ayudante de bartender),,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
soporte en lavandería y ropería (ayudante),,turismo y alimentación,actividades de alojamiento,desconocido,inhabilidato
promoción y marketing,,actividades tipo servicios,"comercio al por menor, excepto el de vehículos automotores y motocicletas",desconocido,inhabilidato
operaciones auxiliares de campamento,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
actividades de anfitrión/ (hostess),,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
digitación de base de datos en mina,,"minas, canteras y yacimientos",explotación de otras minas y canteras,desconocido,inhabilidato
despacho de combustible,,comercialización y venta de productos,"comercio al por menor, excepto el de vehículos automotores y motocicletas",desconocido,inhabilidato
prevencion integral del uso y consumo de drogas,,actividades tipo servicios,actividades de oficinas principales; actividades de consultoría de gestión,desconocido,inhabilidato
asistencia en topografía,,"minas, canteras y yacimientos",explotación de otras minas y canteras,desconocido,inhabilidato
operación polivalente de cocina (cocinero polivalente),,turismo y alimentación,elaboración de productos alimenticios,desconocido,inhabilidato
técnicas en arte culinario ecuatoriano,,turismo y alimentación,elaboración de productos alimenticios,desconocido,inhabilidato
operaciones para la elaboración de hormigones,,construcción,fabricación de otros productos minerales no metálicos,desconocido,inhabilidato
operaciones de entomología en cultivos de palma,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
cortado industrial de confección textil,,"productos textiles, cuero y calzado",fabricación de productos textiles,desconocido,inhabilidato
operaciones de topografía superfical y subterránea,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
técnicas de producción pecuaria,,producción pecuaria,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
técnicas de cultivo acuícola,,"pesca, acuacultura y maricultura",pesca y acuicultura,desconocido,inhabilidato
operaciones de transporte móviles en mina subterránea,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
operaciones especializadas en mantenimiento aeronáutico,,"vehículos, automotores, carrocerías y sus partes",reparación e instalación de maquinaria y equipo,desconocido,inhabilidato
operaciones especializadas en mantenimiento mecánico naval,,"vehículos, automotores, carrocerías y sus partes",reparación e instalación de maquinaria y equipo,desconocido,inhabilidato
topografía,,"minas, canteras y yacimientos",actividades especializadas de la construcción,desconocido,inhabilidato
operaciones de informática,,tecnología: hardware y software (incluye tic),"programación informática, consultoría de informática y actividades conexas",desconocido,inhabilidato
ventas,,comercialización y venta de productos,"comercio al por menor, excepto el de vehículos automotores y motocicletas",desconocido,inhabilidato
operaciones auxiliares de mantenimiento de carrocería de vehículos,,"vehículos, automotores, carrocerías y sus partes",comercio y reparación de vehículos automotores y motocicletas,desconocido,inhabilidato
"calderería, carpintería y montaje de construcciones metálicas",,metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",desconocido,inhabilidato
gestión en refrigeración y aire acondicionado,,actividades tipo servicios,actividades especializadas de la construcción,desconocido,inhabilidato
gestión especializada en ventas,,comercialización y venta de productos,"comercio al por mayor, excepto el de vehículos automotores y motocicletas",desconocido,inhabilidato
prevención de riesgos laborales,,actividades tipo servicios,actividades de oficinas principales; actividades de consultoría de gestión,desconocido,inhabilidato
prevención en riesgos laborales,,actividades tipo servicios,actividades de oficinas principales; actividades de consultoría de gestión,desconocido,inhabilidato
operaciones de cosecha de polen,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
gestión de agencia de viajes,,turismo y alimentación,"actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas",desconocido,inhabilidato
guía nacional especializado en ballenas,,turismo y alimentación,"actividadesdeagenciasdeviajes,operadoresturísticos,servicios de reservas y actividades conexas",desconocido,inhabilidato
desarrollo de hardware de telefonía móvil,,tecnología: hardware y software (incluye tic),telecomunicaciones,desconocido,inhabilidato
seguridad alimentaria para supervisores y gerentes - nte inen 2 459: 2008,,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
posillero - nte inen 2 435: 2008,,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
chef de cocina - nte inen 2 442: 2008,,turismo y alimentación,elaboración de productos alimenticios,desconocido,inhabilidato
ayudante de mesero - nte inen 2 454: 2008,,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
inspección de soldadura,,metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",desconocido,inhabilidato
operaciones especializadas en confecciones textiles,,"productos textiles, cuero y calzado",fabricación de productos textiles,desconocido,inhabilidato
industria de la confección,,"productos textiles, cuero y calzado",fabricación de prendas de vestir,desconocido,inhabilidato
administrador de restaurante - nte inen 2 436: 2008,,turismo y alimentación,elaboración de productos alimenticios,desconocido,inhabilidato
actividades de parrilla (parrillero),,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
carnicería y charcutería,,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
asistencia en archivo,,servicios financieros,actividades auxiliares de las actividades de servicios financieros,desconocido,inhabilidato
servicio al cliente en alimentos y bebidas (mesero),,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
servicio de catering,,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
preparaciones pasteleras y panaderas (chef pastelero - panadero),,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
capitanía de botones,,turismo y alimentación,actividades de alojamiento,desconocido,inhabilidato
gestión de servicios en salón (maitre),,turismo y alimentación,servicio de alimento y bebida,desconocido,inhabilidato
servicios turísticos y conservación de áreas forestales,,turismo y alimentación,actividades de alojamiento,desconocido,inhabilidato
administración de infraestructura de tecnologia de la información y comunicación,,tecnología: hardware y software (incluye tic),"programación informática, consultoría de informática y actividades conexas",desconocido,inhabilidato
instalación y mantenimiento eléctrico en minas subterráneas,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
operaciones en adquisiciones - compras,,comercialización y venta de productos,"comercio al por mayor, excepto el de vehículos automotores y motocicletas",desconocido,inhabilidato
"reparación, montaje y modificaciones de carrocerías",,"vehículos, automotores, carrocerías y sus partes",comercio y reparación de vehículos automotores y motocicletas,desconocido,inhabilidato
operaciones auxiliares de geofísica para labores de minería,,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,desconocido,inhabilidato
operaciones de envasado de líquidos y semilíquidos,,producción industrial de bebidas y tabacos,elaboración de bebidas,desconocido,inhabilidato
supervisión de alertas de emergencia,,actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,desconocido,inhabilidato
evaluación de operaciones de emergencia,,actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,desconocido,inhabilidato
operaciones auxiliares de logueo,,"minas, canteras y yacimientos",explotación de otras minas y canteras,desconocido,inhabilidato
gestión en cuero,,"productos textiles, cuero y calzado",fabricación de cueros y productos conexos,desconocido,inhabilidato
asistencia en comercio exterior,,comercialización y venta de productos,"comercio al por mayor, excepto el de vehículos automotores y motocicletas",desconocido,inhabilidato
albañilería,,construcción,construcción de edificios,desconocido,inhabilidato
operaciones de brigada social para personas con discapacidad,,actividades tipo servicios,actividades de asistencia social sin alojamiento,desconocido,inhabilidato
gestión social en atención a la discapacidad,,actividades tipo servicios,actividades de asistencia social sin alojamiento,desconocido,inhabilidato
guía turística en patrimonio cultural,,turismo y alimentación,"actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas",desconocido,inhabilidato
actividades eléctricas en instalación de equipos de medición directa,,"electricidad, gas y agua","suministro de electricidad, gas, vapor y aire acondicionado",desconocido,inhabilidato
elaboración de féretros,,actividades tipo servicios,otras actividades de servicios personales,desconocido,inhabilidato
asistencia en servicios exequiales,,actividades tipo servicios,otras actividades de servicios personales,desconocido,inhabilidato
elaboración de jabones de glicerina,,"productos industriales, farmacéuticos y químicos",fabricación de substancias y productos químicos,desconocido,inhabilidato
operaciones en camposanto,,actividades tipo servicios,otras actividades de servicios personales,desconocido,inhabilidato
técnicas de producción agropecuaria,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
supervisión de cultivos,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
aplicación de agroquímicos en cultivos,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
operaciones de riego tecnificado en cultivos,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
floricultura,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
gestión en agricultura,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
gestión en floricultura,,agricultura y plantaciones,"agricultura, ganadería, caza y actividades de servicios conexas",desconocido,inhabilidato
