,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil,Descargar Esquema
166,ACTIVIDADES PARA DEPORTES DE EQUIPOS,"PARTICIPAR EN EVENTOS DEPORTIVOS DE EQUIPO RESOLVIENDO SITUACIONES Y DESAFÍOS QUE SE GENEREN EN EL JUEGO, A TRAVÉS DE LA APLICACIÓN DE FUNDAMENTOS TEÓRICOS, TÉCNICOS, TÁCTICOS Y DE DEPORTIVIDAD; LOGRANDO EFICIENCIA EN LA PERCEPCIÓN, DECISIÓN Y DEFINICIÓN EN EL JUEGO.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS",,
167,GESTIÓN DE SOLDADURA,"REALIZAR OPERACIONES DE SOLDADURA SOBRE METALES Y CORTE POR PROYECCIÓN TÉRMICA, APLICANDO PROCESOS O.A.W (SOLDADURA OXIACETILÉNICA), S.M.A.W (SOLDADURA POR ARCO METÁLICO PROTEGIDO), G.M.A.W (SOLDADURA POR ARCO METÁLICO CON PROTECCIÓN GASEOSA) Y SOLDADURA TIG (SOLDADURA CON ELECTRODO DE TUNGSTENO Y PROTECCIÓN GASEOSA), ASÍ COMO PROCESOS DE CORTE POR OXIGAS, PLASMA Y ELECTRODO SEGÚN ESPECIFICACIONES AWS (SOCIEDAD AMERICANA DE SOLDADURA) CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE, Y DE ACUERDO A NORMAS NACIONALES E INTERNACIONALES.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",,
168,ATENCIÓN INTEGRAL EN LA MODALIDAD CRECIENDO CON NUESTROS HIJOS (CNH),"BRINDAR CONSEJERÍA FAMILIAR, PROMOVIENDO LA PROTECCIÓN INTEGRAL DE MUJERES GESTANTES, NIÑOS DE 0 A 36 MESES DE EDAD DE CONFORMIDAD A LA NORMATIVA VIGENTE",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO,,
169,ASESORÍA DE IMAGEN,"BRINDAR EL ASESORAMIENTO Y AYUDA A UNA PERSONA (O GRUPO DE PERSONAS) A POTENCIALIZAR SU IMAGEN, SEGÚN PROCEDIMIENTOS ESTABLECIDOS, DE ACUERDO AL ESTUDIO DE LAS CARACTERÍSTICAS PROPIAS DE CADA INDIVIDUO.",ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,,
170,OPERACIONES DE RESCATE VEHICULAR Y DESASTRES,"BRINDAR SERVICIO DE RESCATE Y ATENCIÓN PREHOSPITALARIA EN EMERGENCIAS POR ACCIDENTES DE TRÁNSITO EN LA RED VIAL Y EN DESASTRES, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVAS VIGENTES.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
171,SUPERVISIÓN DE PROCESOS DE PLANTA DE BENEFICIO EN PEQUEÑA MINERÍA,"SUPERVISAR LOS PROCESOS DE LA PLANTA DE BENEFICIO DE MINERALES METÁLICOS EN PEQUEÑA MINERIA, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,,
172,GESTIÓN DE OPERADORA TURÍSTICA,"GESTIONAR LAS ACTIVIDADES GENERALES DE LA OPERADORA (AGENCIAS DE VIAJES, CENTRALES DE RESERVAS, TOUR OPERADORES, BROKERS, CONSORCIOS DE TURISMO, ENTRE OTROS) DE ACUERDO A LAS POLÍTICAS, NORMAS Y PROCEDIMIENTOS ESTABLECIDOS",TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS",,
173,MECATRÓNICA AUTOMOTRIZ,"REALIZAR EL MANTENIMIENTO, DIAGNOSTICO Y REPARACION DE LOS SISTEMAS MECANICOS, ELECTRICOS Y ELECTRONICOS DE LOS VEHICULOS AUTOMOTORES EN CONDICIONES DE AUTONOMIA, SEGURIDAD Y CUIDADO DEL MEDIO AMBIENTE UTILIZANDO LOS PROCEDIMIENTOS TECNICOS ESTABLECIDOS Y LA INFORMACION TECNICA DE LOS FABRICANTES.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,,
174,PRÁCTICA TERAPÉUTICA DE YOGA,REALIZAR PRÁCTICA TERAPÉUTICA ALTERNATIVA DE YOGA SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,,
175,FOTOGRAFÍA DE MEDIOS MULTIMEDIA,"REALIZAR LA COBERTURA PERIODÍSTICA A TRAVÉS DE REGISTROS FOTOGRÁFICOS Y/O VIDEO  DE SER EL CASO- DE HECHOS Y/O ASIGNACIONES TOMANDO EN CONSIDERACIÓN LAS TÉCNICAS ESTABLECIDAS (COMPOSICIÓN, CONTENIDO, ILUMINACIÓN) Y NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO.",ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",,
176,CUIDADO DE PERSONAS ADULTAS MAYORES,CUIDAR A LAS PERSONAS ADULTAS MAYORES ACORDE A SUS NECESIDADES INDIVIDUALES DETERMINADAS POR PROFESIONALES SOCIO SANITARIOS CUMPLIENDO LA NORMATIVA LEGAL VIGENTE,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO,,
177,OPERACIONES DE LAVANDERÍA Y ROPERÍA,"REALIZAR EL LAVADO, SECADO, PLANCHADO Y ARREGLO DE LA LENCERIA / MANTELERÍA Y PRENDAS DE LOS CLIENTES, APLICANDO LAS NORMAS DE SEGURIDAD E HIGIENE ESTABLECIDAS DE ACUERDO A LA NORMATIVA VIGENTE",TURISMO Y ALIMENTACIÓN,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,,
178,DISEÑO GRÁFICO Y COMUNICACIÓN VISUAL,"REALIZAR LA INTERPRETACIÓN Y DEFINICIÓN DE PROPUESTAS DE DISEÑO GRÁFICO Y COMUNICACIÓN VISUAL DE COMPLEJIDAD MEDIA, UTILIZANDO HERRAMIENTAS COMPUTACIONALES DE VANGUARDIA Y TECNOLOGÍA ACORDES CON LAS NUEVAS FORMAS DE COMUNICACIÓN E INFORMACIÓN PARA LOGRAR RESPUESTAS CREATIVAS EN PLAZOS RAZONABLES QUE INCORPOREN CONCEPTOS DE IDENTIDAD, UNIVERSALIDAD, CONTEMPORANEIDAD Y CALIDAD, AJUSTADAS A LOS REQUERIMIENTOS DEL CLIENTE Y CARACTERÍSTICAS DE LA POBLACIÓN OBJETIVO.",ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",,
179,ASISTENCIA A LA SUPERVISIÓN DE ACTIVIDADES DE CONSTRUCCIÓN,"ASISTIR A LA SUPERVISIÓN DE EDIFICACIONES Y OBRAS CIVILES CUMPLIENDO LAS NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MEDIO AMBIENTE Y ESPECIFICACIONES TÉCNICAS DEL PROYECTO DE LA OBRA.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,,
180,ACTIVIDADES OPERATIVAS DE ALBAÑILERÍA,"CONSTRUIR ESTRUCTURAS BÁSICAS DE HORMIGÓN ARMADO Y DE ALBAÑILERÍA PARA EDIFICACIONES, DE ACUERDO A ESPECIFICACIONES TÉCNICAS REFERIDAS EN LOS PLANOS ARQUITECTÓNICOS, ESTRUCTURALES; Y NORMATIVA DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",CONSTRUCCIÓN,CONSTRUCCIÓN DE EDIFICIOS,,
181,GESTIÓN FORESTAL,"REALIZAR LA ORGANIZACIÓN Y SUPERVISIÓN DE LAS ACTIVIDADES NECESARIAS PARA EL APROVECHAMIENTO DE LOS PRODUCTOS FORESTALES, GESTIONANDO LOS RECURSOS MATERIALES Y HUMANOS DISPONIBLES, APLICANDO CRITERIOS DE CALIDAD, RENTABILIDAD ECONÓMICA Y DE SOSTENIBILIDAD DEL MEDIO NATURAL, MINIMIZANDO EL IMPACTO SOBRE EL MEDIOAMBIENTE Y RESPETANDO LA NORMATIVA VIGENTE, ESPECIALMENTE LA MEDIOAMBIENTAL Y LA DE PREVENCIÓN DE RIESGOS LABORALES.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",SILVICULTURA Y EXTRACCIÓN DE MADERA,,
182,OPERACIONES AUXILIARES EN PROCESOS DE PLANTA DE BENEFICIO,"EJECUTAR OPERACIONES AUXILIARES EN MINA DE CIELO ABIERTO Y SUBTERRÁNEA EN LAS ACTIVIDADES DE VOLADURA, APLICANDO LOS DIFERENTES SISTEMAS DE INICIACIÓN, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,,
183,SOLDADURA,"UNIR ELEMENTOS CUMPLIENDO CON LAS NORMAS ESTABLECIDAS DE SOLDADURA, SEGURIDAD Y SALUD EN EL TRABAJO, ESTÁNDARES DE CALIDAD Y DE MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",,
184,DESARROLLO DE APLICACIONES CON TECNOLOGÍAS WEB,"DESARROLLAR DOCUMENTOS Y COMPONENTES SOFTWARE QUE CONSTITUYAN APLICACIONES INFORMÁTICAS EN ENTORNOS DISTRIBUIDOS UTILIZANDO TECNOLOGÍAS WEB, PARTIENDO DE UN DISEÑO TÉCNICO YA ELABORADO, REALIZANDO, ADEMÁS, LA VERIFICACIÓN, DOCUMENTACIÓN E IMPLANTACIÓN DE LOS MISMOS.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE SERVICIOS DE INFORMACIÓN,,
185,GESTIÓN DE COMPRAS Y ABASTECIMIENTOS,GESTIONAR LA COMPRA Y ABASTECIMIENTO DE PRODUCTOS Y/O SERVICIOS CUMPLIENDO PROCEDIMIENTOS Y POLÍTICAS ESTABLECIDAS.,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",,
186,ELABORACIÓN DE MACANA,"ELABORAR MACANAS DE ACUERDO A LOS REQUERIMIENTOS DEL CLIENTE O NECESIDAD PROPIA, CUMPLIENDO NORMATIVA AMBIENTAL VIGENTE.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES.,,
187,SUPERVISIÓN DE LA GESTIÓN DOCUMENTAL Y ARCHIVO,"CONTROLAR LOS PROCESOS DE GESTIÓN DOCUMENTAL Y ARCHIVO INSTITUCIONAL DE CONFORMIDAD A LAS POLÍTICAS, OBJETIVOS INSTITUCIONALES Y NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,,
188,VENTA DE SERVICIOS,"EJECUTAR ACTIVIDADES DE PREVENTA, VENTA Y POSVENTA DE SERVICIOS DE ACUERDO A METAS Y OBJETIVOS PROPUESTOS POR LA ORGANIZACIÓN, Y CRITERIOS DE FIDELIZACIÓN CON LAS NECESIDADES DEL CLIENTE.",COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",,
189,CARPINTERÍA,"EJECUTAR LA CONSTRUCCION, MONTAJE Y REPARACION DE PRODUCTOS DE CARPINTERIA Y MUEBLES EN CONDICIONES DE SEGURIDAD Y DE PROTECCION DEL MEDIO AMBIENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",,
190,RECICLAJE DE BASE,"REALIZAR LA SEPARACIÓN, CLASIFICACIÓN SELECTIVA, RECOLECCIÓN, RECUPERACIÓN, Y REVALORIZACIÓN DE RESIDUOS SÓLIDOS RECICLABLES NO PELIGROSOS DE DIVERSAS FUENTES CONSIDERANDO LAS NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, DEL AMBIENTE, OBJETIVO DE VENTA, PROCEDIMIENTOS, REQUERIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,"RECOLECCIÓN, TRATAMIENTO Y ELIMINACIÓN DE DESECHOS, RECUPERACIÓN DE MATERIALES",,
191,OPERACIONES AUXILIARES DE ALBAÑILERÍA,"REALIZAR ACTIVIDADES AUXILIARES DE ALBAÑILERÍA EN OBRAS DE CONSTRUCCIÓN, DE ACUERDO A LAS INSTRUCCIONES TÉCNICAS RECIBIDAS POR EL JEFE, LA NORMATIVA DE SEGURIDAD Y SALUD EN EL TRABAJO; Y MEDIO AMBIENTE.",CONSTRUCCIÓN,CONSTRUCCIÓN DE EDIFICIOS,,
192,VENTA DE PRODUCTOS,"REALIZAR LA VENTA DE PRODUCTOS CONSIDERANDO CARACTERÍSTICAS DEL CLIENTE, TÉCNICAS DE VENTA, TIPOS DE PRODUCTOS Y REQUERIMIENTOS DEL ESTABLECIMIENTO.",COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",,
193,OPERACIÓN DE SISTEMAS DE RIEGO PARCELARIO,"OPERAR EL SISTEMA DE RIEGO PARCELARIO EN FUNCIÓN DEL TIPO DE INFRAESTRUCTURA, ACUERDOS SOCIALES ESTABLECIDOS Y PROCEDIMIENTOS TÉCNICOS.",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
194,OPERACIONES DE MÁQUINA DE EMPAQUE Y SELLADO DE PESCADO Y MARISCOS,"OPERAR LAS MÁQUINAS DE EMPAQUE Y SELLADO DE LOS PRODUCTOS DE PESCADO Y MARISCOS EN BASE A LAS ÓRDENES DE PRODUCCIÓN, BUENAS PRÁCTICAS DE MANUFACTURA, NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
195,MANTENIMIENTO CORRECTIVO DE EQUIPOS DE TELEFONÍA MÓVIL,REALIZAR EL MANTENIMIENTO CORRECTIVO AL FUNCIONAMIENTO DE EQUIPOS DE TELEFONÍA MÓVIL DE ACUERDO A LAS NECESIDADES DEL CLIENTE EN CUMPLIMIENTO DE LA NORMATIVA VIGENTE.,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),REPARACIÓN DE COMPUTADORES Y DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,,
196,CULTIVO DE PRODUCTOS DE CICLO PERENNE,"CULTIVAR PRODUCTOS DE CICLO PERENNE EN FUNCIÓN DE LAS CARACTERÍSTICAS PROPIAS DE LA ESPECIE Y FACTORES GEOGRÁFICOS, CLIMÁTICOS Y DE SUELO.",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
197,ARBITRAJE DEPORTIVO,ARBITRAR LA COMPETENCIA DEPORTIVA DE ACUERDO AL REGLAMENTO ESTABLECIDO EN LA NORMATIVA LEGAL VIGENTE.,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS",,
198,OPERACIONES DE MANUFACTURA DEL CHOCOLATE,"ELABORAR PRODUCTOS DE CHOCOLATE A BASE DEL CACAO Y SUS DERIVADOS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y LAS NORMAS DE HIGIENE Y SEGURIDAD.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
199,INTERPRETACIÓN DE LENGUA DE SEÑAS ECUATORIANA,"TRANSMITIR UN DISCURSO DE TIPO ORAL, A TRAVÉS DE UNA MEDIACIÓN LINGÜÍSTICA, EN LENGUA DE SEÑAS ECUATORIANA Y VICEVERSA, COMUNICANDO ÉTICAMENTE LA CULTURA, GRAMÁTICA Y SENTIDO DEL MENSAJE EMITIDO POR LOS ACTORES QUE INTERVIENEN EN EL DIÁLOGO, PROCURANDO LAS MEJORES CONDICIONES LOGÍSTICAS Y EL TRATO ADECUADO TANTO A LAS PERSONAS SORDAS COMO AL INTÉRPRETE EN EL ÁMBITO DE SU COMPETENCIA, GARANTIZANDO LA CALIDAD DE LA INTERPRETACIÓN.",ACTIVIDADES COMUNITARIAS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",,
200,TRAMOYISTA,REALIZAR MONTAJES Y DESMONTAJES DE ELEMENTOS ESCÉNICOS DE UNA PRODUCCIÓN Y MANEJAR LA MAQUINARIA ESCÉNICA Y ESCENOGRAFÍA DURANTE ENSAYOS Y ESPECTÁCULOS,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",,
201,SUPERVISIÓN EN PROCESAMIENTO DE PRODUCTOS DERIVADOS DE CACAO,"SUPERVISAR LOS PROCESOS, OPERACIÓN Y MANTENIMIENTO DE LOS EQUIPOS Y MAQUINARIA UTILIZADA EN LA PRODUCCIÓN DE LICOR, MANTECA Y TORTA DE CACAO, APLICANDO LAS NORMAS DE CALIDAD, NORMAS DE INOCUIDAD, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
202,ACTIVIDADES TERAPÉUTICAS EN REIKI,REALIZAR ACTIVIDADES TERAPÉUTICAS ALTERNATIVAS DE REIKI DE ACUERDO A REQUERIMIENTOS DEL USUARIO SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,,
203,APICULTURA BÁSICA,"MANEJAR, MANTENER E INSTALAR DE MANERA TÉCNICA EL APIARIO PARA PRODUCCIÓN DE MIEL, SELECCIONANDO EL LUGAR MÁS ADECUADO PARA SU PRODUCCIÓN APÍCOLA ASÍ MISMO CUMPLIR CON LAS EXIGENCIAS PROPIAS DEL SECTOR EN CUANTO A MATERIAL E INSUMOS UTILIZADOS EN LA PRODUCCIÓN, A LA HIGIENE Y SEGURIDAD EN LAS LABORES, Y AL TRANSPORTE Y MANIPULACIÓN DE ABEJAS DE ACUERDO CON ESTÁNDARES ESTABLECIDOS.",PRODUCCIÓN PECUARIA,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
204,SUPERVISIÓN A LA GESTIÓN DE LA CALIDAD DEL AGUA PARA CONSUMO HUMANO,"SUPERVISAR LOS SISTEMAS DE ABASTECIMIENTO DE AGUA PARA CONSUMO HUMANO, DE ACUERDO NORMATIVA LEGAL VIGENTE.","ELECTRICIDAD, GAS Y AGUA","CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA",,
205,CARPINTERÍA Y MONTAJE DE ESTRUCTURA DE BAMBÚ,"ELABORAR ESTRUCTURAS DE BAMBÚ, EN FUNCIÓN DEL PLANO ARQUITECTÓNICO Y ESTRUCTURAL DE ACUERDO A NORMAS AMBIENTALES, DE CONSTRUCCIÓN Y DE SEGURIDAD Y SALUD EN EL TRABAJO.",CONSTRUCCIÓN,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN,,
206,INSTRUCTOR DE SEGURIDAD ALIMENTARIA - NTE INEN 2 460: 2008,"EL INSTRUCTOR DE SEGURIDAD ALIMENTARIA SE OCUPA, PRINCIPALMENTE, DE APLICAR PROGRAMAS DE CAPACITACIÓN PARA MEJORAR LA COMPETENCIA DE PROFESIONALES EN EL LOCAL DE TRABAJO Y MEDIO EDUCACIONAL; LOGRAR MEJORES RESULTADOS EN LA APLICACIÓN DE LOS CONCEPTOS BÁSICOS DE SEGURIDAD ALIMENTARIA DESCRITOS EN LAS NTE INEN 2 458 Y 2 459.",ACTIVIDADES DE ENSEÑANZA,SERVICIO DE ALIMENTO Y BEBIDA,,
207,EJECUCIÓN DE TÉCNICAS DE MEDICINA OPERACIONAL TÁCTICA PARA PERSONAL MILITAR NO SANITARIO,"APOYAR EN LA ATENCIÓN INICIAL DE VICTIMAS DURANTE LA EJECUCIÓN DE OPERACIONES MILITARES (INTERNAS Y EXTERNAS) Y ASISTENCIA EN DESASTRES, DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
208,OPERACIONES DE PERFORACIÓN MANUAL CON MARTILLO NEUMÁTICO A CIELO ABIERTO Y SUBTERRÁNEA,"EJECUTAR LABORES MINERAS MANUALES DE PERFORACIÓN CON MARTILLO NEUMÁTICO A CIELO ABIERTO Y SUBTERRÁNEA, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,,
