Perfil,Competenecia Laboral,Familia,Sector
OPERACIONES AUXILIARES EN PROCESOS DE PLANTA DE BENEFICIO,"EJECUTAR OPERACIONES AUXILIARES EN MINA DE CIELO ABIERTO Y SUBTERRÁNEA EN LAS ACTIVIDADES DE VOLADURA, APLICANDO LOS DIFERENTES SISTEMAS DE INICIACIÓN, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES DE PERFORACIÓN MANUAL CON MARTILLO NEUMÁTICO A CIELO ABIERTO Y SUBTERRÁNEA,"EJECUTAR LABORES MINERAS MANUALES DE PERFORACIÓN CON MARTILLO NEUMÁTICO A CIELO ABIERTO Y SUBTERRÁNEA, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
ASISTENCIA DE PREPARACIONES GASTRONÓMICAS EN PANADERÍA Y PASTELERÍA,"ASISTIR EN ACTIVIDADES DE OPERACIÓN DE PANADERÍA Y PASTELERÍA DE ACUERDO CON LOS REQUERIMIENTOS ESTABLECIDOS, PROCEDIMIENTOS Y TÉCNICAS DE ELABORACIÓN EN PANADERÍA Y PASTELERÍA, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MANIPULACIÓN DE ALIMENTOS Y BAJO LA SUPERVISIÓN DE JEFE INMEDIATO.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIÓN DE MAQUINARIA DE ENVASADO Y EMPAQUE DE PRODUCTOS FARMACÉUTICOS,"OPERAR LOS EQUIPOS Y/O MAQUINARIA PARA EL ENVASE Y EMPACADO DE LOS PRODUCTOS FARMACÉUTICOS DE ACUERDO A ORDEN DE PRODUCCIÓN, CUMPLIENDO LOS PROTOCOLOS ESTABLECIDOS DE BUENAS PRÁCTICAS DE MANUFACTURA, NORMAS DE SEGURIDAD Y MEDIO AMBIENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO"
ORGANIZACIÓN Y CONTROL DE LA FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUÍMICOS,"REALIZAR LA ORGANIZACION Y CONTROL DE LAS OPERACIONES DE FABRICACION DE SUSTANCIAS Y PRODUCTOS QUIMICOS, PROCESOS DE GENERACION DE ENERGIA Y SERVICIOS AUXILIARES, ASEGURANDO EL CUMPLIMIENTO DE LOS PLANES DE PRODUCCION Y LAS CONDICIONES DE SEGURIDAD, CALIDAD Y AMBIENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS
INSTALACIÓN Y MANTENIMIENTO DE LOCACIONES PETROLERAS,"REALIZAR ACTIVIDADES DE SOPORTE Y MANTENIMIENTO DE LA INFRAESTRUCTURA DE LOCACIONES PETROLERAS, SIGUIENDO LAS DIRECTRICES DE LOS PROGRAMAS DEL TALLER DE MANTENIMIENTO POR NIVELES DE SUPERVISIÓN.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
ASISTENCIA DE BALCÓN DE SERVICIOS,"ASESORAR DE MANERA PERSONALIZADA A LOS CLIENTES EN LOS DIFERENTES REQUERIMIENTOS SOLICITADOS, PROPORCIONANDO INFORMACIÓN SOBRE LOS PRODUCTOS Y SERVICIOS FINANCIEROS OFRECIDOS POR LA INSTITUCIÓN DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES"
PREVENCIÓN DE RIESGOS LABORALES,EJECUTAR ACTIVIDADES LABORALES EN CONDICIONES DE TRABAJO SEGURO ACORDE A NORMATIVAS LEGALES Y TÉCNICAS VIGENTES.,ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P."
OPERACIÓN DE SISTEMAS DE RIEGO PARCELARIO,"OPERAR EL SISTEMA DE RIEGO PARCELARIO EN FUNCIÓN DEL TIPO DE INFRAESTRUCTURA, ACUERDOS SOCIALES ESTABLECIDOS Y PROCEDIMIENTOS TÉCNICOS.",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
INSPECCIÓN DE AFILIACIÓN A LA SEGURIDAD SOCIAL,"VERIFICAR EL CUMPLIMIENTO DE OBLIGACIONES DE AFILIACIÓN A LA SEGURIDAD SOCIAL, DENTRO DEL MARCO TÉCNICO Y JURÍDICO, DE ACUERDO A LOS REQUERIMIENTOS INTERNOS Y EXTERNOS DEL PROCESO DE INSPECCIÓN DE LA ENTIDAD REGULADORA CUMPLIENDO LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
METROLOGÍA INDUSTRIAL,"REALIZAR LA CALIBRACIÓN Y/O ENSAYO, CONTROL, MANTENIMIENTO DE LOS INSTRUMENTOS DE MEDICIÓN GARANTIZANDO LA CALIDAD DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA"
ASISTENCIA EN GESTIÓN DOCUMENTAL Y ARCHIVO,"ASISTIR EN LAS ACTIVIDADES DE GESTIÓN DOCUMENTAL Y ARCHIVO, DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES"
PATRONAJE DE CALZADO,ELABORAR MOLDES PARA EL CORTE DEL CALZADO EN BASE A DISEÑOS DEFINIDOS MEDIANTE LA APLICACIÓN DE LAS TÉCNICAS DE PATRONALES Y PRODUCCIÓN.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS
"OPERACIONES DE SISTEMAS DE CAPTACIÓN, CONDUCCIÓN, TRATAMIENTO Y ALMACENAMIENTO DE AGUA POTABLE","PONER EN SERVICIO Y OPERACIÓN LOS SISTEMAS DE CAPTACIÓN, CONDUCCIÓN, POTABILIZACIÓN Y ALMACENAMIENTO DE AGUA POTABLE, ATENDIENDO A EXIGENCIAS DE CALIDAD, CONTROL, GESTIÓN, SEGURIDAD INDUSTRIAL Y SALUD OCUPACIONAL.","ELECTRICIDAD, GAS Y AGUA","CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA"
CUIDADO DE PERSONAS ADULTAS MAYORES,CUIDAR A LAS PERSONAS ADULTAS MAYORES ACORDE A SUS NECESIDADES INDIVIDUALES DETERMINADAS POR PROFESIONALES SOCIO SANITARIOS CUMPLIENDO LA NORMATIVA LEGAL VIGENTE,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO
ADMINISTRACIÓN DE SISTEMAS DE RIEGO PARCELARIO,"ADMINISTRAR LA OPERACIÓN, MANTENIMIENTO Y RECURSOS DEL SISTEMA DE RIEGO PARCELARIO, DE ACUERDO A LA NORMATIVA VIGENTE",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
ASESORÍA DE PROYECTOS INTEGRALES DE RIEGO PARCELARIO,"ASESORAR EN PROYECTOS INTEGRALES DE SISTEMAS DE RIEGO PARCELARIO DE ACUERDO AL ENTORNO SOCIO-ORGANIZATIVO, DESARROLLO AGRO-PRODUCTIVO EN ZONAS BAJO RIEGO",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
ASISTENCIA DE LABORATORIO MINERO METALÚRGICO,REALIZAR ACTIVIDADES DE APOYO DE LABORATORIO MINERO - METALÚRGICO DE ACUERDO A LA NORMATIVA LEGAL VIGENTE.,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES GRAFOLÓGICAS,"REALIZAR INFORME GRAFOLÓGICO CON LA OBTENCIÓN DE LA MUESTRA GRÁFICA Y SU ANÁLISIS E INTERPRETACIÓN, INDEPENDIENTEMENTE DE LA CULTURA, IDIOMA, EDAD, NACIONALIDAD, ETC., DE ACUERDO A PARÁMETROS ESTABLECIDOS POR LOS ESPECIALISTAS EN EL ÁMBITO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN
PERITAJE GRAFOLÓGICO,"REALIZAR EL PERITAJE DE LA MUESTRA GRAFOLÓGICA MEDIANTE LA ELABORACIÓN DEL INFORME GRAFOLÓGICO Y/O PERITAJE DE SU AUTOR, RESPETANDO LOS ESTÁNDARES INTERNACIONALES DE APLICACIÓN, TOMA E INTERPRETACIÓN DE LA MUESTRA GRAFOLÓGICA.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN
CORRECCIÓN DE TEXTO,"CORREGIR TEXTOS SEGÚN LAS NORMAS ACADÉMICAS VIGENTES, LOS MANUALES DE ESTILO Y LOS REQUERIMIENTOS DE QUIEN SOLICITA EL TRABAJO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS
CREMACIÓN,REALIZARLADESINTEGRACIÓNDELCADÁVERMEDIANTEHORNOCREMATORIOCUMPLIENDO LAS NORMAS DE BIOSEGURIDAD ESTABLECIDAS.,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
GESTIÓN DE SERVICIOS EXEQUIALES,GESTIONAR LOS PROCESOS DE LOS SERVICIOS EXEQUIALES DE ACUERDO A REQUERIMIENTOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
TANATOPRAXIA,"REALIZAR LA HIGIENIZACIÓN, CONSERVACIÓN, EMBALSAMAMIENTO, RESTAURACIÓN, RECONSTRUCCIÓN Y CUIDADO ESTÉTICO DEL CADÁVER DE ACUERDO A MÉTODOS Y TÉCNICAS ESTABLECIDAS CUMPLIENDO LA NORMATIVA DE MANEJO DE CADÁVERES VIGENTE.",ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
CERTIFICACIÓN DE TRÁMITES ADMINISTRATIVOS EN EL SERVICIO PÚBLICO,CERTIFICAR LA AUTENTICIDAD DE LA DOCUMENTACIÓN FÍSICA Y DIGITAL PRESENTADA POR LOS USUARIOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS POR LA ADMINISTRACIÓN PÚBLICA Y CUMPLIENDO LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
EJECUCIÓN DE TÉCNICAS DE MEDICINA OPERACIONAL TÁCTICA PARA PERSONAL MILITAR NO SANITARIO,"APOYAR EN LA ATENCIÓN INICIAL DE VICTIMAS DURANTE LA EJECUCIÓN DE OPERACIONES MILITARES (INTERNAS Y EXTERNAS) Y ASISTENCIA EN DESASTRES, DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
INSTRUCCIÓN DEPORTIVA,"DIRIGIR EL PROCESO DE DESARROLLO DE CAPACIDADES TÉCNICO, TÁCTICO Y RENDIMIENTO DE PERSONAS O GRUPO EN FUCIÓN DE UNA DISCIPLINA DEPORTIVA, ACTIVIDAD FÍSICA O RECREATIVA.",ENSEÑANZA,ENSEÑANZA
ASISTENCIA DE PREPARACIÓN GASTRONÓMICA EN COCINA,"ASISTR EN LA EJECUCIÓN DE LOS PROCEDIMIENTOS DE PRE-ELABORACIÓN, ELABORACIÓN Y MONTAJE DE ALIMENTOS CONFORME LA SUPERVISIÓN DEL JEFE INMEDIATO, MÉTODOS, TÉNICAS DE COCCIÓN, PROTOCOLOS ESTABLECIDOS Y NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
MANEJO DE TÉCNICAS DE MEDICINA OPERACIONAL TÁCTICA PARA PERSONAL MILITAR SANITARIO,"EFECTUAR LA ATENCIÓN INICIAL DE VICTIMAS DURANTE LA EJECUCIÓN DE OPERACIONES MILITARES (INTERNAS Y EXTERNAS) Y ASISTENCIA EN DESASTRES, DE ACUERDO A NORMAS, TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
OPERACIONES AUXILIARES DE CONCENTRACIÓN GRAVIMÉTRICA,"REALIZAR LOS PROCESOS DE CONCENTRACIÓN GRAVIMÉTRICA EN MINERÍA METÁLICA, DE ACUERDO A LA PLANIFICACIÓN Y PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES AUXILIARES DE MANTENIMIENTO DE CUBIERTA,"REALIZAR EL MANTENIMIENTO DE EQUIPOS, SISTEMAS, ESTRUCTURAS Y ESPACIOS DE CUBIERTA, Y LAS ACTIVIDADES DE ESTIBA Y LIMPIEZA REQUERIDAS A BORDO, DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS, LA NORMATIVA LEGAL VIGENTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
OPERACIONES DE RESCATE VEHICULAR Y DESASTRES,"BRINDAR SERVICIO DE RESCATE Y ATENCIÓN PREHOSPITALARIA EN EMERGENCIAS POR ACCIDENTES DE TRÁNSITO EN LA RED VIAL Y EN DESASTRES, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVAS VIGENTES.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
OPERACIONES DE CENTRALES ELÉCTRICAS,"EJECUTAR EL PROCESO DE PRODUCCIÓN DE ENERGÍA ELÉCTRICA EN UNIDADES DE GENERACIÓN, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA LEGAL VIGENTE.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
OPERACIONES DE CONTROL DE TRÁNSITO Y TRANSPORTE TERRESTRE,CONTROLAR LA MOVILIDAD TERRESTRE DE ACUERDO A LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
OPERACIONES DE CONTROL DE TRANSPORTACIÓN PÚBLICA Y COMERCIAL,"CONTROLAR LA TRANSPORTACIÓN PÚBLICA,  COMERCIAL Y POR CUENTA PROPIA EN TODAS SUS MODALIDADES DE ACUERDO A LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
OPERACIONES DE ESCOLTA MOTORIZADA DE DIGNATARIOS,BRINDAR SERVICIO DE SEGURIDAD VIAL DURANTE EL DESPLAZAMIENTO DE DIGNATARIOS EN BASE A PROCEDIMIENTO ESTABLECIDO Y  NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
OPERACIONES DE FISCALIZACIÓN DE PERFORACIÓN Y REACONDICIONAMIENTO DE POZOS DE HIDROCARBUROS,"FISCALIZAR OPERACIONES DE PERFORACIÓN Y REACONDICIONAMIENTO DE POZOS DE HIDROCARBUROS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMAS VIGENTES.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
OPERACIONES DE INVESTIGACIÓN DE ACCIDENTES DE TRÁNSITO,"INVESTIGAR LOS ACCIDENTES DE TRÁNSITO, DE ACUERDO A PROCEDIMIENTOS TÉCNICOS Y CIENTÍFICOS DE CRIMINALÍSTICA VIAL Y NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
OPERACIONES DE INVESTIGACIÓN DE ASUNTOS INTERNOS,"REALIZAR LAS OPERACIONES DE INVESTIGACIÓN DE ASUNTOS INTERNOS AL PERSONAL DEL CUERPO DE VIGILANTES Y EMPLEADOS CIVILES, EN BASE A LA LEY, PRINCIPIOS Y VALORES ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
OPERACIONES DE SEÑALÉTICA VIAL,SEÑALIZAR LA RED VIAL ESTATAL Y DEMÁS CIRCUNSCRIPCIONES BAJO LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE OTROS TIPOS DE EQUIPOS DE TRANSPORTE
OPERACIONES DE SUPERVISIÓN DE TALADRO PETROLERO,"REALIZAR LA SUPERVISIÓN DE LA MUDANZA (MONTAJE Y DESMONTAJE) Y LAS OPERACIONES DEL TALADRO, DE ACUERDO A LA LEGISLACIÓN DEL PAÍS, CONDICIONES ESTABLECIDAS EN EL CONTRATO Y ESTÁNDARES MUNDIALMENTE RECONOCIDOS POR LA INDUSTRIA.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
INTERPRETACIÓN MUSICAL: INSTRUMENTAL Y VOCAL,"REALIZAR LA INTERPRETACIÓN MUSICAL MEDIANTE EL CANTO O LA EJECUCIÓN DEL INSTRUMENTO MUSICAL APLICANDO TÉCNICAS PROPIAS DE CADA GÉNERO, ESTILO Y ÉPOCA MUSICAL.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
OPERACIONES DE SISTEMAS DE REFRIGERACIÓN O AIRE ACONDICIONADO,"REALIZAR LA INSTALACIÓN Y MANTENIMIENTO DE SISTEMAS DE REFRIGERACIÓN O AIRE ACONDICIONADO MEDIANTE LA APLICACIÓN DE BUENAS PRÁCTICAS DE ACUERDO A LA CLASIFICACIÓN DE SEGURIDAD DEL REFRIGERANTE, RECOMENDACIONES DEL FABRICANTE Y NORMATIVA AMBIENTAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS"
ASISTENCIA EN ACTIVIDADES DE SANIDAD VEGETAL,REALIZAR ACTIVIDADES DE PREVENCIÓN DE LA PROPAGACIÓN DE PLAGAS Y ENFERMEDADES EN EL CULTIVO DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
CULTIVO DE PRODUCTOS DE CICLO PERENNE,"CULTIVAR PRODUCTOS DE CICLO PERENNE EN FUNCIÓN DE LAS CARACTERÍSTICAS PROPIAS DE LA ESPECIE Y FACTORES GEOGRÁFICOS, CLIMÁTICOS Y DE SUELO.",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
CULTIVO DE PRODUCTOS DE CICLO CORTO,"CULTIVAR PRODUCTOS DE CICLO CORTO EN FUNCIÓN DE LAS CARACTERÍSTICAS PROPIAS DE LA ESPECIE Y FACTORES GEOGRÁFICOS, CLIMÁTICOS Y DE SUELO",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
OPERACIONES DE POLINIZACIÓN ASISTIDA,REALIZAR LA POLINIZACIÓN ASISTIDA EN PLANTAS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA LEGAL VIGENTE.,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
PRODUCCIÓN DE CULTIVOS ORGÁNICOS,CULTIVAR ALIMENTOS ORGÁNICOS AGRÍCOLAS EN FUNCIÓN DE LA NORMATIVA VIGENTE.,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
PRODUCCIÓN Y MANTENIMIENTO DE PLANTAS EN VIVEROS,"DESARROLLAR EL PROCESO DE PRODUCCIÓN Y MANTENIMIENTO DE DISTINTAS ESPECIES Y VARIEDADES DE PLANTAS EN CONDICIONES CONTROLADAS EN VIVERO, DE ACUERDO A CRITERIOS TÉCNICOS Y NORMATIVA AMBIENTAL VIGENTE",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
ASERRADO DE MADERA,"EFECTUAR LA RECEPCIÓN, LA CLASIFICACIÓN Y LA PREPARACIÓN DE LA MADERA EN ROLLO ASÍ COMO LA CONDUCCIÓN DE LAS MÁQUINAS DE ASERRADO Y CLASIFICAR LA MADERA ASERRADA, CONSIGUIENDO LA CALIDAD REQUERIDA, EN CONDICIONES DE SALUD LABORAL.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES"
FABRICACIÓN DE TABLEROS DE PARTÍCULAS Y FIBRAS DE MADERA,"FABRICAR TABLEROS DE PARTÍCULAS Y DE FIBRAS A PARTIR DEL ASTILLADO Y EL DESFIBRADO DE LA MADERA EN ROLLO, ASTILLAS, RESIDUOS O RECICLADO DE MADERA, MEDIANTE SU ENCOLADO Y PRENSADO AUTOMATIZADO, ASÍ COMO SU RECUBRIMIENTO, CONSIGUIENDO LA CALIDAD REQUERIDA, EN LAS CONDICIONES DE SEGURIDAD, DE SALUD LABORAL Y DE MEDIO AMBIENTE ADECUADAS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES"
GESTIÓN EN MADERA,"GESTIONAR UNA UNIDAD O SECCIÓN DE FABRICACIÓN EN LAS INDUSTRIAS DEL TABLERO, DE MADERA LAMINADA ENCOLADA (MLE) Y CORCHO, PARA ALCANZAR LOS OBJETIVOS FIJADOS EN LOS PLANES DE PRODUCCIÓN, CALIDAD Y PROTECCIÓN AMBIENTAL; PREPARANDO Y SUPERVISANDO LOS RECURSOS MATERIALES Y HUMANOS","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES"
ORGANIZACIÓN Y GESTIÓN DE LA PRODUCCIÓN EN INDUSTRIAS DEL MUEBLE Y DE CARPINTERÍA,"REALIZAR LA ORGANIZACIÓN, GESTIÓN Y SUPERVISIÓN DE LA PRODUCCIÓN EN INDUSTRIAS DEL MUEBLE, PROGRAMANDO Y PREPARANDO EL TRABAJO A REALIZAR EN FUNCIÓN DE LOS RECURSOS DISPONIBLES, SUPERVISANDO LA CORRECTA Y PUNTUAL EJECUCIÓN DE LOS TRABAJOS NECESARIOS PARA LA FABRICACIÓN DE MOBILIARIO CON LA CALIDAD Y LAS MEDIDAS DE SEGURIDAD REQUERIDAS, CUMPLIENDO LA NORMATIVA VIGENTE Y RESPETANDO EL MEDIO AMBIENTE.",PRODUCTOS INDUSTRIALES FARMACÉUTICOS Y QUÍMICOS,FABRICACIÓN DE MUEBLES
ACTIVIDADES OPERATIVAS DE ALBAÑILERÍA,"CONSTRUIR ESTRUCTURAS BÁSICAS DE HORMIGÓN ARMADO Y DE ALBAÑILERÍA PARA EDIFICACIONES, DE ACUERDO A ESPECIFICACIONES TÉCNICAS REFERIDAS EN LOS PLANOS ARQUITECTÓNICOS, ESTRUCTURALES; Y NORMATIVA DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",CONSTRUCCIÓN,CONSTRUCCIÓN DE EDIFICIOS
INSTALACIÓN DE PANELES ESTRUCTURALES,"INSTALAR PANELES ESTRUCTURALES DE: ALUMINIO, HIERRO, POLIESTIRENO, ENTRE OTROS, CUMPLIENDO EL DISEÑO, ESPECIFICACIONES DE PLANOS, NORMATIVA TÉCNICA VIGENTES, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MEDIO AMBIENTE Y LAS NORMAS DEL FABRICANTE.",CONSTRUCCIÓN,CONSTRUCCIÓN DE EDIFICIOS
INSTALACIÓN DE PAREDES Y TECHOS FALSOS,"INSTALAR PAREDES Y TECHOS FALSOS EN FUNCIÓN DE LOS PLANOS DE OBRA, LAS ESPECIFICACIONES DEL FABRICANTE Y DEL PROYECTO, LAS NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
